MaxPitDepth,Time,pH,PipeSoilPotential,SoilResistivity,WaterContentpc,BulkDensity,DissolvedChloride,Bicarbonate,SulfateConcentration,RadoxPotential,CoatingType,Class
0.48,17,5.9,?0.67,105.3,18.6,1.37,8.8,11.1,44.22,322,WTC,SCL
0.91,11,6.18,?1.43,18.7,19.4,1.34,8.8,16.65,42.51,20,FBE,SCL
0.43,10,6.97,?1.07,48.4,17.5,1.45,7.04,8.32,114.4,44,NC,SCL
0.79,12,6.99,?1.05,41.1,26,1.45,76.59,16.65,63.04,23,WTC,SCL
3.76,20,5.16,?0.70,21,13.9,1.43,39.8,11.87,15.57,108,NC,SCL
1.04,20,5.52,?0.65,65,29,1.42,3.52,8.32,452.3,339,WTC,SCL
1.57,5,7.25,?0.86,4.5,25,1.55,184.9,30.07,344.4,85,NC,SCL
0.48,27,6.5,?0.88,19,20.9,1.3,16.73,12.93,114.8,215,CTC,SCL
1.17,19,6.02,?1.18,67,21.6,1.35,33.09,11.1,215.1,230,WTC,SCL
1.07,19,6.08,?1.08,93.4,22.5,1.37,10.75,8.32,77.33,205,WTC,SCL
0.41,12,7.31,?1.05,20.6,33.9,1.49,8.27,22.19,106.6,55,WTC,SCL
1.17,19,4.98,?0.90,118.9,17.4,1.37,31.43,18.48,280.4,302,NC,SCL
1.57,19,5.56,?0.99,161.2,16.4,1.38,14.4,7.1,68.17,328,NC,SCL
1.4,12,7.04,?0.81,31.6,27.1,1.48,18.2,16.65,126.9,88,WTC,SCL
1.25,19,5.53,?1.10,148.1,16,1.37,28.12,9.24,332.2,330,WTC,SCL
0.91,14,6.2,?1.01,60,21.6,1.35,32.09,18.1,205.1,230,WTC,SCL
0.91,19,6.18,?1.00,80.4,22.5,1.37,11.75,8.32,79.33,205,WTC,SCL
3.3,26,5.01,?0.67,12.3,28.6,1.3,34.85,5.55,33.43,102,CTC,SCL
0.9,25,4.91,?0.99,102.9,17.4,1.37,31.93,16.48,290.4,302,CTC,SCL
0.94,19,5.66,?1.08,141.2,16.4,1.38,14.49,7.1,57.17,328,WTC,SCL
1.91,15,5.32,?1.07,14.1,29,1.37,26.06,8.32,79.64,110,AEC,SCL
1.04,19,5.3,?1.06,107.7,20,1.37,8.27,9.24,106.6,301,WTC,SCL
1.91,13,5.08,?1.02,13.7,29.9,1.4,28.27,12.65,80.78,106,NC,SCL
1.87,15,5.14,?1.10,24,22.1,1.4,27.33,7.1,122.1,132,AEC,SCL
0.91,21,6.14,?1.00,25.8,16.1,1.43,16.62,11.1,94.26,312,CTC,SCL
1.17,17,6.68,?0.93,40.5,17.7,1.39,28.27,9.24,138,220,WTC,SCL
0.66,23,6.29,?1.06,20.6,14.9,1.39,8.27,22.19,126.6,142,CTC,SCL
2.34,19,5.64,?0.65,56,26.7,1.33,31.44,12.93,343.3,135,NC,SCL
1.17,23,6.48,?0.81,46.5,27.7,1.36,28.95,14.76,93.58,220,CTC,SCL
1.57,10,5.25,?0.81,70.1,21.6,1.35,63.58,12.65,163.8,111,FBE,SCL
0.79,39,7.79,?1.00,21.4,26.2,1.42,20.58,18.02,139.8,93,CTC,SCL
1.57,39,7.4,?0.91,40.4,20.5,1.36,32.01,12.05,158.9,132,CTC,SCL
1.19,39,7.8,?0.95,15.4,38.6,1.39,3.2,13.89,145.3,144,CTC,SCL
1.57,19,6.69,?0.83,15.9,30.3,1.39,17.57,11.1,146.2,99,CTC,SCL
1.19,19,6.29,?0.80,4.3,36.3,1.36,10.15,7.1,289.8,145,CTC,SCL
1.17,19,6.91,?0.77,4.8,22,1.35,3.9,20.99,206.6,86,WTC,SCL
0.79,19,5.89,?0.77,5.7,27.7,1.44,17.58,25.01,289.8,55,WTC,SCL
0.79,19,5.86,?0.77,10.4,27,1.44,3.2,25.01,259.3,25,WTC,SCL
0.79,19,6.75,?0.77,8.1,27.6,1.41,8.65,25.01,209.2,159,WTC,SCL
5.87,31,5.96,?0.74,16.2,29.1,1.32,36.06,5.1,16.57,63,CTC,SCL
5.87,31,5.85,?0.74,16.5,31.8,1.3,39.17,5.1,19.17,63,CTC,SCL
1.17,19,6.91,?0.77,4.8,22,1.35,3.9,20.99,206.6,86,WTC,SCL
0.79,19,5.89,?0.77,5.7,27.7,1.44,17.58,25.01,289.8,55,WTC,SCL
0.79,19,5.86,?0.77,10.4,27,1.44,3.2,25.01,259.3,25,WTC,SCL
0.79,19,6.75,?0.77,8.1,27.6,1.41,8.65,25.01,209.2,159,WTC,SCL
1.17,21,5.5,?1.23,21.1,19.1,1.33,9.1,8.32,138,240,WTC,CL
2.74,26,6.16,?0.69,16.9,27.1,1.31,28.2,10.87,125.2,149,CTC,CL
2.46,26,6.42,?0.75,14.5,22.3,1.32,31.93,16.65,179.1,252.7,CTC,CL
1.27,26,6.52,?0.83,17.8,28.4,1.32,20.4,19.42,77.33,261.4,CTC,CL
3.58,26,5.6,?0.62,16.5,29.3,1.31,34.81,12.65,74.26,217.3,CTC,CL
2.49,26,6.15,?0.72,15.6,26.9,1.32,28.74,13.87,128,219.1,CTC,CL
2.31,26,6.89,?0.80,15.6,23.9,1.33,25.31,18.48,35.42,271.3,CTC,CL
1.02,26,6.59,?0.76,16.4,26.3,1.33,25.31,16.65,56.8,241.5,CTC,CL
0.41,21,6.03,?1.13,30,19.4,1.32,8.27,20.34,109.8,44,WTC,CL
1.91,26,6.69,?1.10,19.6,23.5,1.33,7.11,22.19,71.16,147,CTC,CL
3.58,26,5.05,?1.01,21.2,21.1,1.34,29.93,11.65,88.7,170,CTC,CL
0.41,9,6.25,?0.81,10.1,23.6,1.34,8.27,24.03,50.64,189,WTC,CL
0.43,9,9.36,?0.79,1.9,30.7,1.33,289.5,46.22,"1,370.20",19,AEC,CL
1.68,21,5.7,?0.89,24.3,15.5,1.38,4.96,9.71,82.71,120,WTC,CL
0.43,22,7.32,?0.88,54,16.5,1.32,8.27,11.1,123.5,154,CTC,CL
1.4,22,7,?0.61,14.8,29.2,1.33,14.09,11.1,219.3,70,WTC,CL
0.43,12,6.85,?1.08,45.1,17.2,1.33,4.4,11.1,100.7,78,FBE,CL
